CISLO_VLAKU;ZEM_SIRKA;ZEM_DELKA;RYCHLOST;AZIMUT;VOZIDLO;DATUM_CA; 
63321;50.2126;15.80912;8;189;91547123023;23.03.2011 08:53:26; 
63321;50.21048;15.80861;34;188;91547123023;23.03.2011 08:53:56; 
63321;50.20911;15.8082;32;195;91547123023;23.03.2011 08:54:13; 
63321;50.20837;15.80792;31;189;91547123023;23.03.2011 08:54:23; 
63321;50.20822;15.80788;31;187;91547123023;23.03.2011 08:54:25; 
63321;50.20563;15.80731;42;189;91547123023;23.03.2011 08:54:55; 
63321;50.20193;15.80631;55;189;91547123023;23.03.2011 08:55:25; 
63321;50.19755;15.8051;62;190;91547123023;23.03.2011 08:55:55; 
63321;50.19281;15.80291;68;198;91547123023;23.03.2011 08:56:25; 
63321;50.18776;15.80034;71;198;91547123023;23.03.2011 08:56:55; 
63321;50.18278;15.79781;68;198;91547123023;23.03.2011 08:57:25; 
63321;50.17838;15.79557;54;198;91547123023;23.03.2011 08:57:55; 
63321;50.17499;15.79385;43;198;91547123023;23.03.2011 08:58:25; 
63321;50.17206;15.79234;41;198;91547123023;23.03.2011 08:58:55; 
63321;50.16962;15.79102;28;199;91547123023;23.03.2011 08:59:25; 
63321;50.16876;15.79058;3;198;91547123023;23.03.2011 08:59:49; 
63321;50.16865;15.79053;8;198;91547123023;23.03.2011 09:00:14; 
63321;50.16706;15.7897;24;198;91547123023;23.03.2011 09:00:44; 
63321;50.16557;15.78898;10;198;91547123023;23.03.2011 09:01:14; 
63321;50.16555;15.78896;3;198;91547123023;23.03.2011 09:01:18; 
63321;50.16547;15.78889;9;198;91547123023;23.03.2011 09:03:24; 
63321;50.16327;15.78779;37;193;91547123023;23.03.2011 09:03:54; 
63321;50.16049;15.78637;45;200;91547123023;23.03.2011 09:04:24; 
63321;50.15667;15.78411;65;200;91547123023;23.03.2011 09:04:54; 
63321;50.15143;15.78105;77;200;91547123023;23.03.2011 09:05:24; 
63321;50.14593;15.77783;80;200;91547123023;23.03.2011 09:05:54; 
63321;50.14024;15.77452;82;200;91547123023;23.03.2011 09:06:24; 
63321;50.13448;15.77137;82;196;91547123023;23.03.2011 09:06:54; 
63321;50.12857;15.76865;81;196;91547123023;23.03.2011 09:07:24; 
63321;50.12282;15.76607;78;196;91547123023;23.03.2011 09:07:54; 
63321;50.11729;15.76359;75;196;91547123023;23.03.2011 09:08:24; 
63321;50.11202;15.76114;72;196;91547123023;23.03.2011 09:08:54; 
63321;50.10681;15.75873;74;197;91547123023;23.03.2011 09:09:24; 
63321;50.10141;15.75627;76;196;91547123023;23.03.2011 09:09:54; 
63321;50.09587;15.75376;78;196;91547123023;23.03.2011 09:10:24; 
63321;50.09018;15.75118;80;196;91547123023;23.03.2011 09:10:54; 
63321;50.08425;15.75008;81;172;91547123023;23.03.2011 09:11:24; 
63321;50.07837;15.7513;78;172;91547123023;23.03.2011 09:11:54; 
63321;50.07264;15.75248;76;172;91547123023;23.03.2011 09:12:24; 
63321;50.06719;15.7522;73;199;91547123023;23.03.2011 09:12:54; 
63321;50.06228;15.74851;72;206;91547123023;23.03.2011 09:13:24; 
63321;50.06039;15.74701;70;206;91547123023;23.03.2011 09:13:36; 
63321;50.05978;15.74651;70;206;91547123023;23.03.2011 09:13:40; 
63321;50.05869;15.74567;69;206;91547123023;23.03.2011 09:13:47; 
63321;50.05419;15.74213;66;206;91547123023;23.03.2011 09:14:17; 
63321;50.04963;15.74142;62;168;91547123023;23.03.2011 09:14:47; 
63321;50.04523;15.74292;59;168;91547123023;23.03.2011 09:15:17; 
63321;50.04108;15.74425;53;167;91547123023;23.03.2011 09:15:47; 
63321;50.03732;15.74559;51;166;91547123023;23.03.2011 09:16:17; 
63321;50.03382;15.7471;42;163;91547123023;23.03.2011 09:16:47; 
63321;50.03182;15.74989;36;97;91547123023;23.03.2011 09:17:17; 
63321;50.03157;15.75339;22;96;91547123023;23.03.2011 09:17:47; 
63321;50.03151;15.75533;15;91;91547123023;23.03.2011 09:18:17; 
63321;50.0315;15.75569;2;91;91547123023;23.03.2011 09:18:30; 
63321;50.03152;15.75577;8;90;91547123023;23.03.2011 09:22:56; 
63321;50.03151;15.75856;23;87;91547123023;23.03.2011 09:23:26; 
63321;50.03149;15.75991;3;91;91547123023;23.03.2011 09:23:50; 
63321;50.03146;15.75974;9;271;91547123023;23.03.2011 09:25:03; 
63321;50.03154;15.75675;26;271;91547123023;23.03.2011 09:25:33; 
63321;50.03158;15.75342;28;272;91547123023;23.03.2011 09:26:03; 
63321;50.03173;15.75067;15;274;91547123023;23.03.2011 09:26:33; 
63321;50.03174;15.75052;2;272;91547123023;23.03.2011 09:26:40; 
63321;50.03173;15.75102;8;90;91547123023;23.03.2011 09:28:24; 
63321;50.03142;15.7533;21;104;91547123023;23.03.2011 09:28:54; 
63321;50.03127;15.75488;5;91;91547123023;23.03.2011 09:29:24; 
63321;50.03126;15.7549;3;91;91547123023;23.03.2011 09:29:27; 
